problem_id	prompt	answer	pid_target	pid_1	pid_2	pid_3	pid_4	response	r_parsed	correct
36	"Q: Consider a Sudoku grid with the following numbers:
(row 9, column 8) contains 9
(row 7, column 4) contains 8
(row 2, column 8) contains 1
(row 8, column 9) contains 1
(row 4, column 3) contains 9
(row 5, column 3) contains 1
(row 7, column 2) contains 7
(row 5, column 5) contains 9
(row 7, column 6) contains 3
What number must (row 7, column 1) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 1) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 6) contains 3
(row 2, column 9) contains 8
(row 9, column 1) contains 7
(row 5, column 2) contains 3
(row 8, column 4) contains 8
(row 3, column 2) contains 8
(row 9, column 7) contains 9
(row 3, column 8) contains 3
(row 9, column 9) contains 2
What number must (row 9, column 3) contain?
Hint: use the hidden single technique along row 9.
A: (row 9, column 3) must contain 3

Q: Consider a Sudoku grid with the following numbers:
(row 6, column 1) contains 2
(row 6, column 2) contains 6
(row 4, column 5) contains 1
(row 4, column 9) contains 7
(row 2, column 4) contains 6
(row 4, column 8) contains 5
(row 2, column 3) contains 2
(row 1, column 4) contains 2
(row 8, column 7) contains 6
What number must (row 4, column 6) contain?
Hint: use the hidden single technique along row 4.
A: (row 4, column 6) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 2) contains 6
(row 1, column 9) contains 6
(row 5, column 8) contains 8
(row 5, column 6) contains 7
(row 8, column 2) contains 7
(row 8, column 1) contains 6
(row 3, column 7) contains 7
(row 6, column 8) contains 4
(row 7, column 8) contains 2
What number must (row 9, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 9, column 8) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 9, column 7) contains 9
(row 7, column 6) contains 6
(row 7, column 7) contains 2
(row 3, column 8) contains 7
(row 5, column 7) contains 1
(row 2, column 9) contains 6
(row 4, column 5) contains 7
(row 6, column 2) contains 7
(row 6, column 3) contains 6
What number must (row 8, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 8, column 7) must contain"	7	356609	241319	241904	242699	242834	 8	8	False
37	"Q: Consider a Sudoku grid with the following numbers:
(row 8, column 7) contains 5
(row 3, column 7) contains 8
(row 1, column 5) contains 6
(row 6, column 3) contains 9
(row 7, column 7) contains 1
(row 4, column 9) contains 9
(row 4, column 8) contains 6
(row 1, column 4) contains 9
(row 2, column 3) contains 6
What number must (row 9, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 9, column 7) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 8) contains 1
(row 2, column 5) contains 1
(row 2, column 8) contains 6
(row 5, column 4) contains 6
(row 5, column 3) contains 4
(row 6, column 3) contains 5
(row 4, column 3) contains 7
(row 8, column 2) contains 6
(row 7, column 2) contains 1
What number must (row 1, column 3) contain?
Hint: use the hidden single technique along column 3.
A: (row 1, column 3) must contain 1

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 4) contains 7
(row 4, column 3) contains 7
(row 3, column 4) contains 2
(row 8, column 6) contains 9
(row 9, column 6) contains 6
(row 6, column 8) contains 7
(row 6, column 3) contains 2
(row 1, column 8) contains 2
(row 5, column 6) contains 8
What number must (row 7, column 6) contain?
Hint: use the hidden single technique along column 6.
A: (row 7, column 6) must contain 7

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 8) contains 9
(row 5, column 3) contains 6
(row 8, column 1) contains 4
(row 2, column 8) contains 4
(row 3, column 5) contains 4
(row 4, column 3) contains 8
(row 4, column 4) contains 9
(row 9, column 2) contains 9
(row 6, column 3) contains 7
What number must (row 1, column 3) contain?
Hint: use the hidden single technique along column 3.
A: (row 1, column 3) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 5, column 5) contains 4
(row 6, column 5) contains 1
(row 9, column 6) contains 1
(row 3, column 9) contains 9
(row 1, column 1) contains 4
(row 7, column 3) contains 4
(row 3, column 7) contains 6
(row 2, column 3) contains 1
(row 3, column 4) contains 2
What number must (row 3, column 8) contain?
Hint: use the hidden single technique along row 3.
A: (row 3, column 8) must contain"	1	364964	245624	246179	251054	257969	 7	7	False
38	"Q: Consider a Sudoku grid with the following numbers:
(row 8, column 9) contains 2
(row 2, column 4) contains 1
(row 8, column 7) contains 3
(row 8, column 8) contains 4
(row 6, column 5) contains 9
(row 4, column 2) contains 1
(row 1, column 4) contains 9
(row 9, column 3) contains 9
(row 7, column 1) contains 1
What number must (row 8, column 6) contain?
Hint: use the hidden single technique along row 8.
A: (row 8, column 6) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 1) contains 4
(row 8, column 1) contains 5
(row 2, column 5) contains 1
(row 7, column 5) contains 6
(row 9, column 9) contains 4
(row 4, column 4) contains 4
(row 6, column 4) contains 5
(row 9, column 7) contains 5
(row 3, column 5) contains 2
What number must (row 1, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 1, column 5) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 7) contains 5
(row 1, column 3) contains 7
(row 4, column 6) contains 9
(row 8, column 8) contains 5
(row 1, column 4) contains 6
(row 1, column 1) contains 3
(row 2, column 8) contains 9
(row 7, column 2) contains 5
(row 5, column 2) contains 9
What number must (row 1, column 5) contain?
Hint: use the hidden single technique along row 1.
A: (row 1, column 5) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 5) contains 6
(row 2, column 2) contains 5
(row 3, column 9) contains 7
(row 5, column 4) contains 2
(row 6, column 1) contains 7
(row 2, column 3) contains 8
(row 3, column 7) contains 2
(row 9, column 1) contains 2
(row 7, column 3) contains 7
What number must (row 2, column 6) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 6) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 8) contains 7
(row 9, column 7) contains 6
(row 8, column 6) contains 6
(row 5, column 5) contains 9
(row 1, column 2) contains 9
(row 3, column 8) contains 8
(row 1, column 5) contains 6
(row 7, column 9) contains 9
(row 6, column 8) contains 1
What number must (row 2, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 2, column 8) must contain"	9	48464	259994	260879	261824	261959	 4	4	False
39	"Q: Consider a Sudoku grid with the following numbers:
(row 9, column 4) contains 9
(row 2, column 3) contains 3
(row 1, column 7) contains 3
(row 3, column 4) contains 6
(row 7, column 4) contains 2
(row 6, column 5) contains 3
(row 6, column 2) contains 8
(row 1, column 1) contains 8
(row 5, column 6) contains 8
What number must (row 8, column 4) contain?
Hint: use the hidden single technique along column 4.
A: (row 8, column 4) must contain 3

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 4) contains 2
(row 6, column 9) contains 2
(row 5, column 1) contains 7
(row 5, column 2) contains 5
(row 8, column 8) contains 2
(row 2, column 5) contains 9
(row 7, column 4) contains 9
(row 4, column 9) contains 9
(row 5, column 3) contains 3
What number must (row 5, column 6) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 6) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 7) contains 4
(row 6, column 1) contains 4
(row 1, column 6) contains 4
(row 6, column 3) contains 6
(row 7, column 7) contains 6
(row 5, column 6) contains 9
(row 3, column 9) contains 6
(row 5, column 8) contains 5
(row 5, column 4) contains 8
What number must (row 5, column 5) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 5) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 7) contains 9
(row 7, column 4) contains 1
(row 9, column 3) contains 8
(row 5, column 4) contains 9
(row 6, column 5) contains 8
(row 1, column 7) contains 8
(row 7, column 8) contains 7
(row 8, column 2) contains 9
(row 7, column 9) contains 3
What number must (row 7, column 6) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 6) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 3) contains 6
(row 3, column 9) contains 4
(row 8, column 5) contains 4
(row 2, column 4) contains 2
(row 9, column 5) contains 5
(row 5, column 6) contains 4
(row 8, column 8) contains 5
(row 1, column 7) contains 5
(row 2, column 1) contains 3
What number must (row 2, column 2) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 2) must contain"	4	263954	264404	268004	268694	270104	 4	4	True
40	"Q: Consider a Sudoku grid with the following numbers:
(row 6, column 7) contains 2
(row 2, column 7) contains 6
(row 8, column 5) contains 6
(row 7, column 1) contains 5
(row 7, column 2) contains 7
(row 4, column 9) contains 6
(row 8, column 4) contains 2
(row 4, column 6) contains 2
(row 7, column 8) contains 1
What number must (row 7, column 3) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 3) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 5) contains 2
(row 3, column 3) contains 5
(row 6, column 1) contains 5
(row 4, column 6) contains 9
(row 1, column 5) contains 3
(row 2, column 9) contains 9
(row 5, column 6) contains 5
(row 9, column 5) contains 6
(row 3, column 1) contains 9
What number must (row 8, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 8, column 5) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 8) contains 5
(row 7, column 6) contains 1
(row 3, column 6) contains 3
(row 4, column 5) contains 5
(row 5, column 4) contains 9
(row 9, column 2) contains 5
(row 8, column 1) contains 9
(row 1, column 6) contains 2
(row 6, column 8) contains 9
What number must (row 2, column 6) contain?
Hint: use the hidden single technique along column 6.
A: (row 2, column 6) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 9) contains 1
(row 6, column 8) contains 8
(row 5, column 4) contains 4
(row 5, column 2) contains 5
(row 3, column 3) contains 8
(row 2, column 6) contains 1
(row 1, column 6) contains 8
(row 4, column 7) contains 1
(row 5, column 1) contains 2
What number must (row 5, column 5) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 5) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 6) contains 5
(row 8, column 5) contains 7
(row 3, column 7) contains 5
(row 7, column 3) contains 4
(row 9, column 5) contains 9
(row 4, column 5) contains 8
(row 5, column 1) contains 4
(row 7, column 8) contains 5
(row 1, column 4) contains 4
What number must (row 6, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 6, column 5) must contain"	4	122234	271874	272654	285749	287939	 6	6	False
41	"Q: Consider a Sudoku grid with the following numbers:
(row 3, column 3) contains 4
(row 5, column 8) contains 3
(row 7, column 7) contains 3
(row 3, column 2) contains 8
(row 8, column 8) contains 1
(row 5, column 2) contains 1
(row 2, column 4) contains 3
(row 3, column 9) contains 5
(row 1, column 5) contains 1
What number must (row 3, column 1) contain?
Hint: use the hidden single technique along row 3.
A: (row 3, column 1) must contain 3

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 3) contains 5
(row 8, column 3) contains 3
(row 5, column 8) contains 4
(row 9, column 7) contains 5
(row 3, column 8) contains 6
(row 1, column 6) contains 5
(row 1, column 5) contains 3
(row 6, column 8) contains 1
(row 9, column 9) contains 3
What number must (row 2, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 2, column 8) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 6, column 2) contains 6
(row 6, column 7) contains 1
(row 6, column 8) contains 4
(row 4, column 5) contains 7
(row 7, column 4) contains 7
(row 9, column 9) contains 2
(row 1, column 3) contains 2
(row 4, column 6) contains 2
(row 9, column 3) contains 7
What number must (row 6, column 1) contain?
Hint: use the hidden single technique along row 6.
A: (row 6, column 1) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 6) contains 9
(row 3, column 9) contains 5
(row 7, column 9) contains 9
(row 2, column 8) contains 9
(row 7, column 4) contains 5
(row 5, column 5) contains 3
(row 1, column 5) contains 1
(row 2, column 1) contains 5
(row 6, column 5) contains 6
What number must (row 4, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 4, column 5) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 9) contains 8
(row 6, column 7) contains 2
(row 3, column 8) contains 3
(row 9, column 7) contains 1
(row 8, column 6) contains 3
(row 1, column 1) contains 3
(row 8, column 4) contains 8
(row 5, column 5) contains 8
(row 7, column 7) contains 4
What number must (row 4, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 4, column 7) must contain"	8	197534	289949	290459	293369	298619	 2	2	False
42	"Q: Consider a Sudoku grid with the following numbers:
(row 1, column 6) contains 2
(row 8, column 8) contains 1
(row 9, column 8) contains 9
(row 7, column 2) contains 8
(row 5, column 3) contains 2
(row 3, column 8) contains 5
(row 6, column 7) contains 8
(row 4, column 7) contains 2
(row 1, column 3) contains 8
What number must (row 2, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 2, column 8) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 6) contains 2
(row 8, column 8) contains 1
(row 3, column 8) contains 2
(row 6, column 5) contains 3
(row 6, column 7) contains 9
(row 5, column 2) contains 1
(row 9, column 5) contains 1
(row 4, column 1) contains 2
(row 6, column 9) contains 6
What number must (row 6, column 4) contain?
Hint: use the hidden single technique along row 6.
A: (row 6, column 4) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 1) contains 5
(row 5, column 8) contains 5
(row 4, column 1) contains 4
(row 9, column 7) contains 8
(row 1, column 7) contains 7
(row 6, column 8) contains 4
(row 7, column 7) contains 3
(row 3, column 5) contains 4
(row 8, column 3) contains 5
What number must (row 2, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 2, column 7) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 8) contains 8
(row 3, column 3) contains 2
(row 4, column 1) contains 8
(row 8, column 9) contains 8
(row 1, column 7) contains 1
(row 9, column 3) contains 9
(row 7, column 3) contains 5
(row 6, column 8) contains 1
(row 5, column 2) contains 1
What number must (row 2, column 3) contain?
Hint: use the hidden single technique along column 3.
A: (row 2, column 3) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 5) contains 2
(row 4, column 6) contains 6
(row 2, column 2) contains 4
(row 7, column 2) contains 5
(row 4, column 3) contains 7
(row 9, column 1) contains 4
(row 5, column 7) contains 4
(row 5, column 8) contains 5
(row 2, column 6) contains 5
What number must (row 4, column 4) contain?
Hint: use the hidden single technique along row 4.
A: (row 4, column 4) must contain"	4	147569	302069	302819	304574	306104	 1	1	False
43	"Q: Consider a Sudoku grid with the following numbers:
(row 5, column 1) contains 2
(row 1, column 7) contains 6
(row 4, column 1) contains 7
(row 2, column 6) contains 2
(row 3, column 4) contains 7
(row 1, column 2) contains 4
(row 1, column 9) contains 3
(row 8, column 2) contains 7
(row 8, column 3) contains 2
What number must (row 1, column 8) contain?
Hint: use the hidden single technique along row 1.
A: (row 1, column 8) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 7) contains 2
(row 7, column 7) contains 9
(row 2, column 1) contains 1
(row 9, column 5) contains 1
(row 2, column 4) contains 8
(row 6, column 8) contains 8
(row 8, column 1) contains 8
(row 4, column 8) contains 1
(row 8, column 7) contains 7
What number must (row 3, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 3, column 7) must contain 1

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 2) contains 2
(row 9, column 9) contains 5
(row 4, column 1) contains 5
(row 9, column 8) contains 4
(row 3, column 4) contains 4
(row 8, column 5) contains 5
(row 7, column 2) contains 9
(row 1, column 2) contains 3
(row 6, column 3) contains 4
What number must (row 2, column 2) contain?
Hint: use the hidden single technique along column 2.
A: (row 2, column 2) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 9) contains 8
(row 1, column 7) contains 4
(row 2, column 7) contains 2
(row 9, column 5) contains 2
(row 8, column 3) contains 3
(row 4, column 4) contains 2
(row 8, column 8) contains 1
(row 5, column 1) contains 4
(row 7, column 4) contains 4
What number must (row 8, column 2) contain?
Hint: use the hidden single technique along row 8.
A: (row 8, column 2) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 6, column 2) contains 7
(row 8, column 1) contains 1
(row 9, column 1) contains 5
(row 5, column 7) contains 1
(row 1, column 6) contains 1
(row 6, column 5) contains 5
(row 4, column 2) contains 4
(row 3, column 2) contains 8
(row 1, column 8) contains 5
What number must (row 2, column 2) contain?
Hint: use the hidden single technique along column 2.
A: (row 2, column 2) must contain"	1	26729	309569	312674	313604	315119	 7	7	False
44	"Q: Consider a Sudoku grid with the following numbers:
(row 1, column 5) contains 4
(row 4, column 7) contains 8
(row 2, column 3) contains 8
(row 3, column 3) contains 1
(row 5, column 9) contains 1
(row 4, column 2) contains 1
(row 1, column 4) contains 9
(row 7, column 9) contains 8
(row 1, column 6) contains 2
What number must (row 1, column 8) contain?
Hint: use the hidden single technique along row 1.
A: (row 1, column 8) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 8) contains 1
(row 3, column 8) contains 4
(row 2, column 2) contains 6
(row 3, column 4) contains 8
(row 8, column 5) contains 6
(row 6, column 5) contains 1
(row 2, column 1) contains 1
(row 5, column 7) contains 6
(row 3, column 6) contains 7
What number must (row 3, column 9) contain?
Hint: use the hidden single technique along row 3.
A: (row 3, column 9) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 8) contains 8
(row 5, column 5) contains 9
(row 7, column 3) contains 2
(row 9, column 8) contains 3
(row 7, column 6) contains 9
(row 1, column 1) contains 2
(row 3, column 7) contains 2
(row 1, column 9) contains 9
(row 8, column 8) contains 1
What number must (row 6, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 6, column 8) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 8) contains 1
(row 3, column 7) contains 8
(row 8, column 9) contains 2
(row 3, column 6) contains 3
(row 3, column 4) contains 9
(row 1, column 3) contains 1
(row 7, column 4) contains 2
(row 2, column 1) contains 2
(row 6, column 9) contains 1
What number must (row 3, column 5) contain?
Hint: use the hidden single technique along row 3.
A: (row 3, column 5) must contain 1

Q: Consider a Sudoku grid with the following numbers:
(row 5, column 4) contains 5
(row 9, column 5) contains 5
(row 7, column 3) contains 4
(row 7, column 8) contains 7
(row 7, column 9) contains 1
(row 6, column 2) contains 9
(row 3, column 2) contains 5
(row 3, column 7) contains 9
(row 9, column 4) contains 9
What number must (row 7, column 1) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 1) must contain"	9	361274	315749	321734	323714	325439	 6	6	False
45	"Q: Consider a Sudoku grid with the following numbers:
(row 2, column 3) contains 8
(row 4, column 2) contains 4
(row 2, column 7) contains 9
(row 3, column 4) contains 2
(row 9, column 2) contains 2
(row 4, column 5) contains 2
(row 7, column 9) contains 4
(row 1, column 6) contains 4
(row 2, column 1) contains 5
What number must (row 2, column 8) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 8) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 7) contains 6
(row 7, column 5) contains 6
(row 8, column 8) contains 6
(row 3, column 8) contains 4
(row 8, column 5) contains 4
(row 2, column 1) contains 1
(row 2, column 6) contains 8
(row 5, column 3) contains 4
(row 2, column 4) contains 7
What number must (row 2, column 2) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 2) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 3) contains 8
(row 7, column 3) contains 6
(row 2, column 9) contains 2
(row 3, column 6) contains 8
(row 2, column 2) contains 5
(row 2, column 7) contains 7
(row 5, column 2) contains 6
(row 1, column 4) contains 6
(row 7, column 8) contains 8
What number must (row 2, column 1) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 1) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 8) contains 2
(row 5, column 3) contains 4
(row 7, column 6) contains 8
(row 2, column 4) contains 4
(row 9, column 6) contains 1
(row 8, column 3) contains 2
(row 8, column 1) contains 4
(row 6, column 6) contains 3
(row 1, column 4) contains 2
What number must (row 4, column 6) contain?
Hint: use the hidden single technique along column 6.
A: (row 4, column 6) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 9) contains 7
(row 4, column 8) contains 7
(row 2, column 7) contains 6
(row 4, column 9) contains 9
(row 3, column 5) contains 7
(row 5, column 2) contains 9
(row 2, column 2) contains 5
(row 1, column 5) contains 9
(row 2, column 3) contains 4
What number must (row 2, column 1) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 1) must contain"	7	131564	330779	337574	338054	343964	 6	6	False
46	"Q: Consider a Sudoku grid with the following numbers:
(row 5, column 2) contains 8
(row 6, column 8) contains 4
(row 8, column 5) contains 8
(row 1, column 6) contains 8
(row 6, column 7) contains 1
(row 3, column 6) contains 2
(row 6, column 9) contains 3
(row 2, column 9) contains 2
(row 4, column 1) contains 2
What number must (row 6, column 4) contain?
Hint: use the hidden single technique along row 6.
A: (row 6, column 4) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 7) contains 2
(row 6, column 1) contains 7
(row 7, column 8) contains 8
(row 9, column 9) contains 2
(row 1, column 2) contains 8
(row 4, column 6) contains 8
(row 3, column 3) contains 2
(row 9, column 1) contains 5
(row 5, column 1) contains 4
What number must (row 8, column 1) contain?
Hint: use the hidden single technique along column 1.
A: (row 8, column 1) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 7) contains 5
(row 5, column 7) contains 1
(row 3, column 9) contains 8
(row 9, column 1) contains 6
(row 7, column 5) contains 8
(row 6, column 2) contains 6
(row 3, column 8) contains 6
(row 6, column 4) contains 8
(row 8, column 7) contains 2
What number must (row 4, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 4, column 7) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 9, column 9) contains 7
(row 7, column 4) contains 4
(row 7, column 3) contains 9
(row 8, column 9) contains 3
(row 6, column 5) contains 3
(row 6, column 8) contains 7
(row 2, column 6) contains 3
(row 2, column 5) contains 7
(row 7, column 2) contains 6
What number must (row 7, column 1) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 1) must contain 3

Q: Consider a Sudoku grid with the following numbers:
(row 5, column 9) contains 4
(row 3, column 6) contains 4
(row 7, column 8) contains 4
(row 2, column 1) contains 8
(row 5, column 6) contains 9
(row 8, column 8) contains 9
(row 2, column 7) contains 7
(row 2, column 3) contains 1
(row 1, column 5) contains 9
What number must (row 2, column 2) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 2) must contain"	4	62174	345449	346694	347354	348434	 4	4	True
47	"Q: Consider a Sudoku grid with the following numbers:
(row 8, column 7) contains 3
(row 4, column 4) contains 4
(row 3, column 9) contains 4
(row 8, column 5) contains 2
(row 9, column 5) contains 1
(row 5, column 4) contains 3
(row 1, column 5) contains 8
(row 2, column 2) contains 3
(row 2, column 3) contains 4
What number must (row 7, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 7, column 5) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 1) contains 4
(row 5, column 8) contains 2
(row 2, column 4) contains 2
(row 6, column 8) contains 4
(row 4, column 1) contains 7
(row 1, column 3) contains 2
(row 8, column 4) contains 4
(row 4, column 5) contains 3
(row 4, column 6) contains 9
What number must (row 4, column 2) contain?
Hint: use the hidden single technique along row 4.
A: (row 4, column 2) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 9) contains 4
(row 4, column 4) contains 1
(row 9, column 3) contains 1
(row 5, column 8) contains 9
(row 7, column 7) contains 8
(row 2, column 9) contains 9
(row 8, column 2) contains 9
(row 7, column 6) contains 2
(row 1, column 8) contains 1
What number must (row 7, column 5) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 5) must contain 1

Q: Consider a Sudoku grid with the following numbers:
(row 6, column 5) contains 2
(row 3, column 4) contains 8
(row 8, column 1) contains 9
(row 2, column 3) contains 8
(row 1, column 6) contains 9
(row 5, column 8) contains 8
(row 5, column 2) contains 9
(row 9, column 5) contains 1
(row 4, column 5) contains 5
What number must (row 7, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 7, column 5) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 2) contains 1
(row 3, column 8) contains 2
(row 9, column 4) contains 2
(row 3, column 6) contains 9
(row 1, column 6) contains 3
(row 9, column 5) contains 1
(row 4, column 6) contains 6
(row 6, column 7) contains 1
(row 2, column 3) contains 2
What number must (row 5, column 6) contain?
Hint: use the hidden single technique along column 6.
A: (row 5, column 6) must contain"	1	214079	348899	355844	358229	359354	 8	8	False
48	"Q: Consider a Sudoku grid with the following numbers:
(row 1, column 5) contains 9
(row 9, column 1) contains 8
(row 6, column 4) contains 1
(row 2, column 5) contains 7
(row 3, column 5) contains 4
(row 4, column 4) contains 8
(row 8, column 7) contains 8
(row 9, column 9) contains 1
(row 5, column 2) contains 1
What number must (row 7, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 7, column 5) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 7) contains 3
(row 6, column 8) contains 1
(row 1, column 1) contains 1
(row 9, column 7) contains 8
(row 8, column 3) contains 1
(row 4, column 8) contains 9
(row 1, column 5) contains 9
(row 2, column 7) contains 5
(row 3, column 1) contains 9
What number must (row 7, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 7, column 7) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 6, column 5) contains 6
(row 7, column 9) contains 8
(row 6, column 8) contains 5
(row 5, column 3) contains 7
(row 1, column 7) contains 7
(row 6, column 6) contains 1
(row 8, column 9) contains 7
(row 9, column 6) contains 8
(row 4, column 2) contains 8
What number must (row 6, column 4) contain?
Hint: use the hidden single technique along row 6.
A: (row 6, column 4) must contain 7

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 1) contains 3
(row 8, column 5) contains 3
(row 1, column 5) contains 7
(row 6, column 8) contains 4
(row 7, column 9) contains 3
(row 6, column 7) contains 6
(row 5, column 1) contains 7
(row 8, column 6) contains 7
(row 6, column 9) contains 9
What number must (row 6, column 4) contain?
Hint: use the hidden single technique along row 6.
A: (row 6, column 4) must contain 7

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 3) contains 5
(row 6, column 1) contains 8
(row 5, column 8) contains 3
(row 4, column 1) contains 6
(row 8, column 4) contains 3
(row 2, column 3) contains 3
(row 9, column 5) contains 5
(row 9, column 1) contains 9
(row 5, column 4) contains 5
What number must (row 7, column 1) contain?
Hint: use the hidden single technique along column 1.
A: (row 7, column 1) must contain"	3	250544	359474	360014	360554	361244	 8	8	False
